,u,v,sim
0,Q106__middle,Q108__middle,0.5681326416225657
1,Q107__middle,Q108__middle,0.5857362068570643
2,Q107__middle,Q90__middle,0.5757964409225202
3,Q107__middle,Q48__middle,0.5268297113790676
4,Q107__middle,Q251__middle,0.525817632420903
5,Q109__bottom,Q110__bottom,0.614788061421196
6,Q109__bottom,Q250__top,0.5463331036554124
7,Q10P,Q150__c2,0.6629768366332849
8,Q111__c1,Q246__top,0.5809692671394799
9,Q112__top,Q70P__bottom,0.5578387869871627
10,Q112__top,Q172P__top,0.5467943343776199
11,Q113__bottom,Q115__bottom,0.7287837554950806
12,Q113__bottom,Q76P__top,0.5974040683187605
13,Q113__bottom,Q253P__middle,0.5342952928917682
14,Q113__bottom,Q114__bottom,0.7135529608006672
15,Q113__middle,Q115__middle,0.6010334346504559
16,Q113__middle,Q114__middle,0.5895440729483282
17,Q114__bottom,Q115__bottom,0.7421601334445371
18,Q115__bottom,Q116__middle,0.6970692903495918
19,Q115__middle,Q116__top,0.5339877231195723
20,Q116__middle,Q117__middle,0.6707655005195705
21,Q116__top,Q117__top,0.593929450369155
22,Q116__top,Q69P__bottom,0.542188695170522
23,Q119P__middle,Q151P,0.6345268377499437
24,Q119P__middle,Q41P__middle,0.5636652468403045
25,Q122__top,Q123__top,0.6013493283299067
26,Q123__top,Q127__top,0.6434150673263379
27,Q124__top,Q126__top,0.7489674054143359
28,Q124__top,Q129__top,0.6949259307528564
29,Q124__top,Q130P__middle,0.5329368170124383
30,Q125__top,Q127__top,0.5684408923684735
31,Q127__top,Q250__top,0.6245649370152471
32,Q128__top,Q129__top,0.7388678917416047
33,Q128__top,Q182__bottom,0.5577520182156903
34,Q12P,Q42__c2,0.6504520586436587
35,Q131P__middle,Q46P__middle,0.5426721487857362
36,Q132P__bottom,Q137P__bottom,0.5997671089978409
37,Q132P__bottom,Q133P__bottom,0.5992608543824933
38,Q134P__bottom,Q135P__bottom,0.7410158404917645
39,Q134P__bottom,Q138P__bottom,0.7380546751188589
40,Q134P__bottom,Q136P__bottom,0.7101178268387823
41,Q135P__bottom,Q138P__bottom,0.7750807786271574
42,Q135P__bottom,Q156__c1,0.5542201907163685
43,Q135P__bottom,Q136P__bottom,0.7198557805973678
44,Q136P__bottom,Q138P__bottom,0.7596671949286846
45,Q136P__bottom,Q137P__bottom,0.7109013705541074
46,Q137P__bottom,Q138P__bottom,0.7024960380348653
47,Q138P__bottom,Q52P__bottom,0.595527459502173
48,Q139P,Q140P,0.6866052391105696
49,Q139P,Q164__top,0.5828876067551689
50,Q142P__top,Q143P__top,0.6757275257369829
51,Q143P__top,Q147P__top,0.6333594531060013
52,Q146P__top,Q147P__top,0.8323564528383806
53,Q146P__top,Q148P__top,0.7658500654735924
54,Q147P__top,Q148P__top,0.7853305112341257
55,Q147P__top,Q6P__top,0.5114060370444846
56,Q149__c1,Q177__bottom,0.583509921017145
57,Q150__c2,Q57P__c1,0.7089470243807457
58,Q150__c2,Q44P__top,0.7042009132420092
59,Q151P,Q187__bottom,0.7068158086257634
60,Q152__c1,Q156__c1,0.5999880444745547
61,Q158__top,Q159__top,0.7553216807255996
62,Q159__top,Q163__top,0.568311499583271
63,Q15P,Q6P__top,0.5995933596979244
64,Q160__middle,Q161__middle,0.6259353398104378
65,Q161__middle,Q90__middle,0.5327787959960525
66,Q162__bottom,Q163__top,0.5109738636120787
67,Q163__top,Q246__top,0.5721993441622817
68,Q163__top,Q74P__top,0.5475391618404463
69,Q164__top,Q173P__top,0.7913892356776252
70,Q164__top,Q168P,0.7782296729821777
71,Q164__top,Q172P__top,0.6861617242165442
72,Q164__top,Q254P__top,0.6830051032039703
73,Q164__top,Q5P__top,0.6789541062378338
74,Q164__top,Q45P__top,0.6471949914946601
75,Q164__top,Q166P,0.7463304280728829
76,Q164__top,Q165P,0.7438279581593373
77,Q164__top,Q184__bottom,0.7177805446924925
78,Q164__top,Q167P,0.7158164249513355
79,Q164__top,Q187__bottom,0.7048223269942727
80,Q165P,Q57P__c1,0.7936259640627338
81,Q165P,Q189__bottom,0.7784471662309744
82,Q165P,Q168P,0.7759293768788171
83,Q165P,Q1P__top,0.7769965247711083
84,Q165P,Q191__bottom,0.7748048156629571
85,Q165P,Q7P,0.772738911874503
86,Q165P,Q179__bottom,0.7700683910900546
87,Q165P,Q181__bottom,0.7684822830977291
88,Q165P,Q58P__top,0.763193124313904
89,Q165P,Q18P,0.7609270610060291
90,Q165P,Q192__bottom,0.7582423344650839
91,Q165P,Q55P__bottom,0.7536507777471633
92,Q165P,Q194__bottom,0.7489696260728811
93,Q165P,Q173P__top,0.7368635825727383
94,Q165P,Q180__bottom,0.7318579376198703
95,Q165P,Q166P,0.71575281907586
96,Q165P,Q187__bottom,0.7152903410095625
97,Q166P,Q168P,0.8424428793439804
98,Q166P,Q167P,0.8080327350637491
99,Q166P,Q173P__top,0.7180607573866001
100,Q167P,Q168P,0.8433191151671461
101,Q168P,Q173P__top,0.7482061964752174
102,Q169P__top,Q6P__top,0.7155305315369663
103,Q169P__top,Q170P__top,0.7135175055967136
104,Q169P__top,Q28P__top,0.5383692215375384
105,Q170P__top,Q29P__top,0.5405050429955641
106,Q171P__bottom,Q172P__bottom,0.6589403055424626
107,Q171P__bottom,Q64P__bottom,0.5885301284891449
108,Q171P__top,Q172P__top,0.5451175925517363
109,Q171P__top,Q94R,0.513369441277081
110,Q172P__bottom,Q6P__bottom,0.6802317967522263
111,Q172P__top,Q6P__top,0.738516524731942
112,Q174__c2,Q175__c2,0.7542395821722584
113,Q174__c2,Q189__bottom,0.6852665242373174
114,Q177__bottom,Q178__bottom,0.7826994394135404
115,Q177__bottom,Q180__bottom,0.7178394761673291
116,Q178__bottom,Q180__bottom,0.7454035970605896
117,Q178__bottom,Q181__bottom,0.7141602108457791
118,Q178__bottom,Q179__bottom,0.7096753651982323
119,Q179__bottom,Q181__bottom,0.8971459137278875
120,Q179__bottom,Q192__bottom,0.8824488340401686
121,Q179__bottom,Q55P__bottom,0.84170778749092
