,u,v,sim
0,Q1P__top,Q55P__bottom,0.8389964554974426
1,Q1P__top,Q58P__top,0.8052024522877628
2,Q1P__top,Q7P,0.7813607657049173
3,Q1P__top,Q18P,0.8369066999180261
4,Q1P__top,Q57P__c1,0.7539399397319109
5,Q1P__top,Q165P,0.7769965247711083
6,Q1P__top,Q179__bottom,0.8261000080819276
7,Q4P__top,Q199P__top,0.6843324844563746
8,Q4P__top,Q76P__top,0.5428956567433572
9,Q5P__top,Q164__top,0.6789541062378338
10,Q5P__top,Q173P__top,0.6524830073519212
11,Q5P__top,Q184__bottom,0.6499856866814571
12,Q6P__bottom,Q172P__bottom,0.6802317967522263
13,Q6P__bottom,Q186__top,0.48493975903614456
14,Q6P__bottom,Q147P__bottom,0.46014470907446486
15,Q6P__bottom,Q171P__bottom,0.5961682424376854
16,Q6P__top,Q172P__top,0.738516524731942
17,Q6P__top,Q169P__top,0.7155305315369663
18,Q6P__top,Q27P__top,0.645361978774245
19,Q6P__top,Q147P__top,0.5114060370444846
20,Q6P__top,Q164__top,0.6822334847342301
21,Q6P__top,Q170P__top,0.6348280715865675
22,Q7P,Q179__bottom,0.7833518002012252
23,Q7P,Q57P__c1,0.7648549210927077
24,Q7P,Q181__bottom,0.7814205468146846
25,Q10P,Q150__c2,0.6629768366332849
26,Q10P,Q51P__bottom,0.6624510234028713
27,Q10P,Q175__c2,0.6546925774588978
28,Q10P,Q189__bottom,0.6606908265767858
29,Q12P,Q42__c2,0.6504520586436587
30,Q12P,Q243__top,0.6456045689763978
31,Q12P,Q249__top,0.6469564947268689
32,Q18P,Q55P__bottom,0.8434611627382712
33,Q18P,Q24P,0.7631080860878175
34,Q18P,Q179__bottom,0.8276990185387132
35,Q20P,Q22P,0.6337563705406216
36,Q20P,Q63P__middle,0.3848600508905852
37,Q20P,Q29P__top,0.5261874469889737
38,Q22P,Q182__bottom,0.6115504036431381
39,Q22P,Q29P__top,0.5304786649345458
40,Q22P,Q186__bottom,0.5683998836983911
41,Q24P,Q51P__bottom,0.7025399754927916
42,Q24P,Q150__c2,0.6972054911792582
43,Q27P__top,Q39P__top,0.43310442813165995
44,Q27P__top,Q164__top,0.6081931852059695
45,Q27P__top,Q172P__top,0.6148149742750737
46,Q29P__bottom,Q31P__bottom,0.6555612032715679
47,Q29P__middle,Q31P__middle,0.669457434504953
48,Q29P__middle,Q30P__middle,0.5958848522461451
49,Q29P__top,Q31P__top,0.6718532404927692
50,Q29P__top,Q170P__top,0.5405050429955641
51,Q30P__middle,Q31P__middle,0.6635556404258366
52,Q30P__middle,Q39P__middle,0.4978344562078922
53,Q31P__bottom,Q186__top,0.38458440721649484
54,Q33P__bottom,Q35P__bottom,0.6120115905283651
55,Q33P__bottom,Q206P__top,0.5377678783815929
56,Q33P__bottom,Q62P__top,0.5086023452709739
57,Q33P__bottom,Q198P__bottom,0.4825010186987821
58,Q33P__bottom,Q238P__top,0.5273237651106986
59,Q39P__middle,Q41P__middle,0.6394640198511167
60,Q39P__middle,Q259P__bottom,0.5033285210137953
61,Q39P__middle,Q46P__middle,0.5490700891484783
62,Q39P__middle,Q60P__middle,0.5443434847728408
63,Q39P__middle,Q119P__middle,0.5507820682913205
64,Q39P__top,Q40P__top,0.6048321326627701
65,Q41P__middle,Q119P__middle,0.5636652468403045
66,Q41P__middle,Q215P__bottom,0.5455994661525914
67,Q42__c2,Q51P__bottom,0.655991407349137
68,Q42__c2,Q243__top,0.6522624006058311
69,Q42__c2,Q249__top,0.6512433406333971
70,Q44P__top,Q194__bottom,0.707822203614542
71,Q44P__top,Q45P__top,0.6401369863013698
72,Q44P__top,Q150__c2,0.7042009132420092
73,Q44P__top,Q151P,0.6948858447488584
74,Q44P__top,Q192__bottom,0.7026991597079297
75,Q45P__top,Q164__top,0.6471949914946601
76,Q45P__top,Q254P__top,0.6417189852039505
77,Q46P__middle,Q49__middle,0.6045381186596988
78,Q46P__middle,Q59P__middle,0.5801759913925607
79,Q46P__middle,Q48__middle,0.5291269597294804
80,Q46P__middle,Q51P__bottom,0.572152549808632
81,Q46P__middle,Q60P__middle,0.5640754687980326
82,Q48__middle,Q49__middle,0.6322371666988438
83,Q48__middle,Q161__middle,0.4938574380634467
84,Q49__middle,Q54P__bottom,0.5312354131009802
85,Q51P__bottom,Q53P__bottom,0.7852896237689666
86,Q51P__bottom,Q55P__bottom,0.7817423540315107
87,Q51P__bottom,Q52P__bottom,0.7799948565118073
88,Q51P__bottom,Q54P__bottom,0.7111477542622876
89,Q51P__bottom,Q56P__top,0.6028773278066049
90,Q52P__bottom,Q138P__bottom,0.595527459502173
91,Q52P__bottom,Q53P__bottom,0.7580244962465429
92,Q52P__bottom,Q54P__bottom,0.6628368233899644
93,Q52P__bottom,Q55P__bottom,0.7378077799764546
94,Q53P__bottom,Q54P__bottom,0.7455314827352743
95,Q53P__bottom,Q56P__top,0.6000846310088016
96,Q54P__bottom,Q56P__top,0.6175246609124537
97,Q54P__bottom,Q59P__middle,0.5738291582386805
98,Q55P__bottom,Q179__bottom,0.84170778749092
99,Q55P__bottom,Q58P__top,0.8018936452671392
100,Q57P__c1,Q165P,0.7936259640627338
101,Q57P__c1,Q150__c2,0.7089470243807457
102,Q57P__c1,Q70P__bottom,0.47088357602814984
103,Q58P__top,Q191__bottom,0.7979999464510429
104,Q59P__middle,Q60P__middle,0.6431308474840015
105,Q62P__bottom,Q63P__bottom,0.6449509975498775
106,Q62P__middle,Q63P__middle,0.708907110665999
107,Q62P__top,Q63P__top,0.7616057838660578
108,Q63P__bottom,Q73P__bottom,0.33870390261367705
109,Q66P__bottom,Q67P__bottom,0.6337434874182463
110,Q66P__bottom,Q71P__bottom,0.4317858834675509
