,u,v,sim
0,Q5P__top,Q164__top,0.6789541062378338
1,Q5P__top,Q173P__top,0.6524830073519212
2,Q5P__top,Q184__bottom,0.6499856866814571
3,Q5P__top,Q254P__top,0.6468188649538396
4,Q6P__bottom,Q172P__bottom,0.6802317967522263
5,Q6P__bottom,Q239P__bottom,0.493147952933132
6,Q6P__bottom,Q186__top,0.48493975903614456
7,Q6P__top,Q172P__top,0.738516524731942
8,Q6P__top,Q169P__top,0.7155305315369663
9,Q6P__top,Q27P__top,0.645361978774245
10,Q6P__top,Q147P__top,0.5114060370444846
11,Q6P__top,Q164__top,0.6822334847342301
12,Q6P__top,Q170P__top,0.6348280715865675
13,Q6P__top,Q173P__top,0.646986405881537
14,Q6P__top,Q256P__top,0.5140648390195947
15,Q10P,Q150__c2,0.6629768366332849
16,Q10P,Q175__c2,0.6546925774588978
17,Q10P,Q44P__top,0.6569710806697108
18,Q10P,Q54P__bottom,0.5502075222804929
19,Q10P,Q151P,0.6543869244876291
20,Q10P,Q202P__top,0.6281329429555034
21,Q20P,Q22P,0.6337563705406216
22,Q20P,Q63P__middle,0.3848600508905852
23,Q20P,Q29P__top,0.5261874469889737
24,Q20P,Q170P__top,0.5060342477634873
25,Q22P,Q182__bottom,0.6115504036431381
26,Q22P,Q29P__top,0.5304786649345458
27,Q22P,Q170P__top,0.5552003568507917
28,Q22P,Q186__bottom,0.5683998836983911
29,Q27P__top,Q39P__top,0.43310442813165995
30,Q27P__top,Q164__top,0.6081931852059695
31,Q27P__top,Q169P__top,0.6054937248401611
32,Q27P__top,Q172P__top,0.6148149742750737
33,Q27P__top,Q255P__top,0.5893356931182088
34,Q27P__top,Q256P__top,0.5085570361440596
35,Q29P__middle,Q30P__middle,0.5958848522461451
36,Q29P__top,Q31P__top,0.6718532404927692
37,Q29P__top,Q170P__top,0.5405050429955641
38,Q29P__top,Q169P__top,0.5273142698885274
39,Q30P__middle,Q39P__middle,0.4978344562078922
40,Q35P__bottom,Q54P__bottom,0.4969270266065038
41,Q35P__bottom,Q245__bottom,0.461117504756089
42,Q39P__middle,Q41P__middle,0.6394640198511167
43,Q39P__middle,Q46P__middle,0.5490700891484783
44,Q39P__middle,Q49__middle,0.5215150786012192
45,Q39P__middle,Q60P__middle,0.5443434847728408
46,Q39P__middle,Q119P__middle,0.5507820682913205
47,Q39P__top,Q40P__top,0.6048321326627701
48,Q41P__middle,Q119P__middle,0.5636652468403045
49,Q41P__middle,Q46P__middle,0.544151552413157
50,Q41P__middle,Q60P__middle,0.5391563275434244
51,Q41P__middle,Q215P__bottom,0.5455994661525914
52,Q44P__top,Q150__c2,0.7042009132420092
53,Q44P__top,Q159__top,0.466544901065449
54,Q44P__top,Q57P__c1,0.6959847568184031
55,Q44P__top,Q151P,0.6948858447488584
56,Q44P__top,Q187__bottom,0.6949162861491629
57,Q46P__middle,Q49__middle,0.6045381186596988
58,Q46P__middle,Q54P__bottom,0.5715685521057485
59,Q46P__middle,Q60P__middle,0.5640754687980326
60,Q46P__middle,Q119P__middle,0.5564206410166888
61,Q49__middle,Q161__middle,0.4851020014157925
62,Q49__middle,Q54P__bottom,0.5312354131009802
63,Q49__middle,Q60P__middle,0.5236944583125313
64,Q54P__bottom,Q69P__middle,0.45361366111716195
65,Q54P__bottom,Q60P__middle,0.5413489964213475
66,Q54P__bottom,Q202P__top,0.5515252148310452
67,Q57P__c1,Q165P,0.7936259640627338
68,Q57P__c1,Q150__c2,0.7089470243807457
69,Q57P__c1,Q70P__bottom,0.47088357602814984
