u,v,sim,source
Q2P__middle,Q3P__middle,0.5231740706938655,3_личное_содержание
Q2P__top,Q3P__top,0.5614402295336423,3_личное_содержание
Q2P__top,Q4P__top,0.508215310561881,4_тон_манера
Q2P__top,Q62P__top,0.5000596189158897,4_тон_манера
Q4P__top,Q62P__top,0.5057738938371786,4_тон_манера
Q4P__top,Q71P__top,0.5242158508048314,4_тон_манера
Q4P__top,Q74P__top,0.5199806780256455,4_тон_манера
Q4P__top,Q76P__top,0.5477134427438687,4_тон_манера
Q4P__top,Q82P__top,0.5018311824206487,4_тон_манера
Q4P__top,Q83P__top,0.5165677976618929,4_тон_манера
Q4P__top,Q85P__top,0.5308697108406832,4_тон_манера
Q4P__top,Q87P__top,0.5154172795648192,4_тон_манера
Q4P__top,Q113__bottom,0.5113784507010041,4_тон_манера
Q4P__top,Q199P__top,0.6903191464741142,2_группа_демография
Q5P__top,Q6P__top,0.6143588821996585,1_среда_страна
Q5P__top,Q27P__top,0.5999601752289925,1_среда_страна
Q5P__top,Q36P__bottom,0.5046872223209525,4_тон_манера
Q5P__top,Q43P__bottom,0.5525334303647775,4_тон_манера
Q5P__top,Q112__top,0.5181732443412652,1_среда_страна
Q5P__top,Q143P__top,0.5097990995422043,4_тон_манера
Q5P__top,Q164__top,0.6849116351478055,1_среда_страна
Q5P__top,Q169P__top,0.5569579835089499,1_среда_страна
Q5P__top,Q170P__top,0.514867663544299,1_среда_страна
Q5P__top,Q172P__top,0.5661952447349836,1_среда_страна
Q5P__top,Q173P__top,0.6592848257616903,4_тон_манера
Q5P__top,Q182__bottom,0.6160060590759909,1_среда_страна
Q5P__top,Q183__bottom,0.6366702617903716,4_тон_манера
Q5P__top,Q184__bottom,0.6622491204404178,1_среда_страна
Q5P__top,Q186__bottom,0.5272844199814636,1_среда_страна
Q5P__top,Q188__bottom,0.6239128410466523,1_среда_страна
Q5P__top,Q218P__bottom,0.6120586165500683,4_тон_манера
Q5P__top,Q254P__top,0.6638754223593359,3_личное_содержание
Q5P__top,Q255P__top,0.5817849972622742,4_тон_манера
Q5P__top,Q257P__top,0.5187700979152364,4_тон_манера
Q6P__bottom,Q64P__bottom,0.5869949247118863,3_личное_содержание
Q6P__bottom,Q171P__bottom,0.6038869853395495,3_личное_содержание
Q6P__bottom,Q172P__bottom,0.6929824561403509,1_среда_страна
Q6P__bottom,Q173P__middle,0.5071648768589722,4_тон_манера
Q6P__top,Q15P,0.6048639754772691,1_среда_страна
Q6P__top,Q22P,0.5709965505835657,1_среда_страна
Q6P__top,Q27P__top,0.6484469631424122,1_среда_страна
Q6P__top,Q28P__top,0.5193021361332368,4_тон_манера
Q6P__top,Q29P__top,0.5029825162838533,4_тон_манера
Q6P__top,Q36P__bottom,0.5880584192439863,1_среда_страна
Q6P__top,Q43P__bottom,0.5683773293687723,1_среда_страна
Q6P__top,Q45P__top,0.541796066252588,2_группа_демография
Q6P__top,Q57P__c1,0.5264640744582434,1_среда_страна
Q6P__top,Q64P__top,0.5179912919890811,4_тон_манера
Q6P__top,Q112__top,0.5518289226024446,1_среда_страна
Q6P__top,Q126__top,0.5060743763331169,4_тон_манера
Q6P__top,Q128__top,0.5312992470670636,1_среда_страна
Q6P__top,Q143P__top,0.5320790439001302,1_среда_страна
Q6P__top,Q146P__top,0.5284831846259437,2_группа_демография
Q6P__top,Q147P__top,0.5314001810879205,2_группа_демография
Q6P__top,Q148P__top,0.5054028658679821,4_тон_манера
Q6P__top,Q151P,0.540908722766664,4_тон_манера
Q6P__top,Q164__top,0.6849481486698241,1_среда_страна
Q6P__top,Q165P,0.56499787923981,1_среда_страна
Q6P__top,Q166P,0.6010909668649708,1_среда_страна
Q6P__top,Q167P,0.6420517951283334,1_среда_страна
Q6P__top,Q168P,0.6267211453817663,1_среда_страна
Q6P__top,Q169P__top,0.7413022846693363,1_среда_страна
Q6P__top,Q170P__top,0.6676928138365371,1_среда_страна
Q6P__top,Q171P__top,0.5218097709579149,3_личное_содержание
Q6P__top,Q172P__top,0.7408374645892352,1_среда_страна
Q6P__top,Q173P__top,0.6502221834974297,1_среда_страна
Q6P__top,Q182__bottom,0.6252680225659387,1_среда_страна
Q6P__top,Q183__bottom,0.5669090695258443,1_среда_страна
Q6P__top,Q184__bottom,0.6156729999272039,1_среда_страна
Q6P__top,Q185__bottom,0.5099611549033416,4_тон_манера
Q6P__top,Q186__bottom,0.677494590045684,1_среда_страна
Q6P__top,Q187__bottom,0.572318228876324,1_среда_страна
Q6P__top,Q188__bottom,0.6364122681883024,1_среда_страна
Q6P__top,Q193__bottom,0.5786526549945347,1_среда_страна
Q6P__top,Q195__bottom,0.5227458287101974,4_тон_манера
Q6P__top,Q205P__bottom,0.5477303806961048,1_среда_страна
Q6P__top,Q209P__bottom,0.5610769409307184,1_среда_страна
Q6P__top,Q210P__bottom,0.5346548523797849,1_среда_страна
Q6P__top,Q211P__bottom,0.529757927184152,2_группа_демография
Q6P__top,Q212P__bottom,0.5343745081236119,2_группа_демография
Q6P__top,Q214P__bottom,0.5291957483691437,1_среда_страна
Q6P__top,Q217P__bottom,0.5190596875969794,2_группа_демография
Q6P__top,Q218P__bottom,0.5269851448113712,1_среда_страна
Q6P__top,Q254P__top,0.587086643266211,1_среда_страна
Q6P__top,Q255P__top,0.5701972484667661,1_среда_страна
Q6P__top,Q256P__top,0.5289073814395071,4_тон_манера
Q6P__top,Q257P__top,0.5549295774647888,1_среда_страна
Q12P,Q33P__bottom,0.5083311072525711,4_тон_манера
Q15P,Q64P__top,0.5016256671369854,3_личное_содержание
Q15P,Q164__top,0.5044050130289118,3_личное_содержание
Q15P,Q169P__top,0.5625699105145414,3_личное_содержание
Q15P,Q170P__top,0.524188901415508,3_личное_содержание
Q15P,Q171P__top,0.5345218403479752,3_личное_содержание
Q15P,Q172P__top,0.5510422472411103,3_личное_содержание
Q15P,Q186__bottom,0.50644671046181,3_личное_содержание
Q18P,Q24P,0.7644687770759823,3_личное_содержание
Q19P,Q23P,0.547054277391356,3_личное_содержание
Q19P,Q26P,0.5347122536865457,3_личное_содержание
Q20P,Q22P,0.6368269110079077,1_среда_страна
Q20P,Q29P__top,0.5371793484143306,1_среда_страна
