u,v,sim
Q106__middle,Q107__middle,0.554084694134622
Q106__middle,Q108__middle,0.5681326416225657
Q106__middle,Q90__middle,0.5033131256168053
Q107__middle,Q108__middle,0.5857362068570643
Q107__middle,Q161__middle,0.5296017222820237
Q107__middle,Q251__middle,0.525817632420903
Q107__middle,Q48__middle,0.5268297113790676
Q107__middle,Q49__middle,0.518094257459725
Q107__middle,Q50__middle,0.5184939193367382
Q107__middle,Q90__middle,0.5757964409225202
Q108__middle,Q90__middle,0.5163306546360261
Q90__middle,Q161__middle,0.5327787959960525
Q90__middle,Q251__middle,0.5211962317810167
Q90__middle,Q48__middle,0.5156799963666916
Q90__middle,Q49__middle,0.5028423107450072
Q90__middle,Q50__middle,0.5061563600377437
Q161__middle,Q251__middle,0.520774084607181
Q251__middle,Q253P__middle,0.5050213295414149
Q251__middle,Q48__middle,0.5102204052612869
Q251__middle,Q49__middle,0.515198318210095
Q251__middle,Q50__middle,0.5193298969072165
Q48__middle,Q131P__middle,0.5103884968010026
Q48__middle,Q253P__middle,0.500147603151895
Q48__middle,Q46P__middle,0.5291269597294804
Q48__middle,Q49__middle,0.6322371666988438
Q48__middle,Q50__middle,0.5375706792015805
Q48__middle,Q75P__middle,0.5059864307569509
Q49__middle,Q131P__middle,0.5340326490336144
Q49__middle,Q46P__middle,0.6045381186596988
Q49__middle,Q47P__middle,0.5079906471887938
Q49__middle,Q50__middle,0.5776433489928566
Q49__middle,Q75P__middle,0.5182015144689706
Q50__middle,Q46P__middle,0.5173685828466031
Q109__bottom,Q163__top,0.5436710619109696
Q109__bottom,Q177__bottom,0.5320046934379433
Q109__bottom,Q178__bottom,0.5220871065114273
Q109__bottom,Q238P__top,0.5199087101991979
Q109__bottom,Q242__bottom,0.5298790714096566
Q109__bottom,Q243__top,0.5251009718540957
Q109__bottom,Q244__top,0.5170549450549451
Q109__bottom,Q246__top,0.5310950964691528
Q109__bottom,Q249__top,0.5166891881397263
Q109__bottom,Q250__top,0.5463331036554124
Q109__bottom,Q43P__bottom,0.5053067736145886
Q163__top,Q158__top,0.5599341781890453
Q163__top,Q159__top,0.568311499583271
Q163__top,Q162__bottom,0.5109738636120787
Q163__top,Q238P__top,0.5164875088154212
Q163__top,Q242__bottom,0.5184322441390806
Q163__top,Q243__top,0.5488924649753881
Q163__top,Q244__top,0.5467911867159618
Q163__top,Q246__top,0.5721993441622817
Q163__top,Q249__top,0.5491045772952488
Q163__top,Q250__top,0.5698839243122913
Q163__top,Q44P__top,0.5522526636225267
Q163__top,Q56P__top,0.5378776202219482
Q163__top,Q71P__top,0.5073835830145534
Q163__top,Q74P__top,0.5475391618404463
Q163__top,Q76P__top,0.5242237086743744
Q177__bottom,Q178__bottom,0.7826994394135404
Q177__bottom,Q179__bottom,0.6889415300755232
Q177__bottom,Q180__bottom,0.7178394761673291
Q177__bottom,Q181__bottom,0.6996645635332641
Q177__bottom,Q183__bottom,0.608780932032714
Q177__bottom,Q187__bottom,0.662975034015758
Q177__bottom,Q189__bottom,0.6599742565586061
Q177__bottom,Q190__bottom,0.6781486562007824
Q177__bottom,Q191__bottom,0.6758667791571251
Q177__bottom,Q192__bottom,0.6678290051518687
Q177__bottom,Q194__bottom,0.6769520619635755
Q177__bottom,Q234P__top,0.6620678856625898
Q177__bottom,Q235P__bottom,0.511006812490149
Q177__bottom,Q238P__top,0.5209540988774277
Q177__bottom,Q242__bottom,0.5447190066723875
Q177__bottom,Q243__top,0.661192098952417
Q177__bottom,Q246__top,0.6113553177702667
Q177__bottom,Q250__top,0.6643141100856377
Q178__bottom,Q179__bottom,0.7096753651982323
Q178__bottom,Q180__bottom,0.7454035970605896
Q178__bottom,Q181__bottom,0.7141602108457791
Q178__bottom,Q182__bottom,0.5659680896938335
Q178__bottom,Q183__bottom,0.6515049590340664
Q178__bottom,Q184__bottom,0.6461405778352738
Q178__bottom,Q187__bottom,0.6953453786032971
Q178__bottom,Q188__bottom,0.5936869340232859
Q178__bottom,Q189__bottom,0.6747037513767433
Q178__bottom,Q190__bottom,0.6732374807363376
Q178__bottom,Q191__bottom,0.6896736437534317
Q178__bottom,Q192__bottom,0.6774379612757757
Q178__bottom,Q193__bottom,0.6396205260888314
Q178__bottom,Q194__bottom,0.6901542111506525
Q178__bottom,Q195__bottom,0.550599396291505
Q178__bottom,Q238P__top,0.5123415265200517
Q178__bottom,Q242__bottom,0.5228805519620526
Q178__bottom,Q246__top,0.6022595946528676
Q178__bottom,Q250__top,0.6560241483398016
Q238P__top,Q125__top,0.5054989909068233
Q238P__top,Q199P__top,0.5151817501530647
Q238P__top,Q221P__top,0.5214511283986752
Q238P__top,Q222P__top,0.5198167483486043
Q238P__top,Q234P__top,0.557246994554533
Q238P__top,Q235P__bottom,0.5297080915755858
Q238P__top,Q237P__bottom,0.509626068618336
Q238P__top,Q242__bottom,0.5471136022596875
Q238P__top,Q243__top,0.5519058437460558
Q238P__top,Q244__top,0.5285494505494506
Q238P__top,Q246__top,0.5620567375886525
Q238P__top,Q249__top,0.5334016743550316
Q238P__top,Q250__top,0.6022155085599195
Q238P__top,Q254P__top,0.5067371590116386
Q238P__top,Q255P__top,0.5069970365492262
Q238P__top,Q257P__top,0.5115308737159573
Q238P__top,Q33P__bottom,0.5273237651106986
Q238P__top,Q76P__top,0.508333522302093
Q242__bottom,Q113__bottom,0.5137920381322271
Q242__bottom,Q115__bottom,0.5214988486497802
Q242__bottom,Q116__middle,0.5384049186006234
Q242__bottom,Q117__middle,0.5174552034601465
Q242__bottom,Q123__top,0.5269366654025031
Q242__bottom,Q127__top,0.518240635024194
Q242__bottom,Q206P__top,0.5289232964989296
Q242__bottom,Q235P__bottom,0.5626710212728396
