u,v,sim
Q106__middle,Q107__middle,0.554084694134622
Q106__middle,Q108__middle,0.5681326416225657
Q106__middle,Q90__middle,0.5033131256168053
Q107__middle,Q108__middle,0.5857362068570643
Q107__middle,Q251__middle,0.525817632420903
Q107__middle,Q48__middle,0.5268297113790676
Q107__middle,Q49__middle,0.518094257459725
Q107__middle,Q50__middle,0.5184939193367382
Q107__middle,Q90__middle,0.5757964409225202
Q108__middle,Q90__middle,0.5163306546360261
Q90__middle,Q251__middle,0.5211962317810167
Q90__middle,Q48__middle,0.5156799963666916
Q90__middle,Q49__middle,0.5028423107450072
Q90__middle,Q50__middle,0.5061563600377437
Q251__middle,Q253P__middle,0.5050213295414149
Q251__middle,Q48__middle,0.5102204052612869
Q251__middle,Q49__middle,0.515198318210095
Q251__middle,Q50__middle,0.5193298969072165
Q48__middle,Q131P__middle,0.5103884968010026
Q48__middle,Q253P__middle,0.500147603151895
Q48__middle,Q46P__middle,0.5291269597294804
Q48__middle,Q49__middle,0.6322371666988438
Q48__middle,Q50__middle,0.5375706792015805
Q48__middle,Q75P__middle,0.5059864307569509
Q49__middle,Q131P__middle,0.5340326490336144
Q49__middle,Q46P__middle,0.6045381186596988
Q49__middle,Q47P__middle,0.5079906471887938
Q49__middle,Q50__middle,0.5776433489928566
Q49__middle,Q75P__middle,0.5182015144689706
Q50__middle,Q46P__middle,0.5173685828466031
Q33P__bottom,Q116__middle,0.5168210945618289
Q33P__bottom,Q123__top,0.5210084033613446
Q33P__bottom,Q204P__top,0.5084277034255839
Q33P__bottom,Q206P__top,0.5377678783815929
Q33P__bottom,Q235P__bottom,0.5344982683398551
Q33P__bottom,Q238P__top,0.5273237651106986
Q33P__bottom,Q242__bottom,0.5750507547003266
Q33P__bottom,Q249__top,0.5182734572790955
Q33P__bottom,Q35P__bottom,0.6120115905283651
Q33P__bottom,Q54P__bottom,0.5075073906955033
Q33P__bottom,Q93,0.5118150035803041
Q113__bottom,Q114__bottom,0.7135529608006672
Q113__bottom,Q115__bottom,0.7287837554950806
Q113__bottom,Q116__middle,0.6533815379286456
Q113__bottom,Q117__middle,0.6085697869707416
Q113__bottom,Q123__top,0.506596938062636
Q113__bottom,Q131P__middle,0.5092452124969769
Q113__bottom,Q199P__top,0.5212023739410139
Q113__bottom,Q227P__bottom,0.5446699587731618
Q113__bottom,Q242__bottom,0.5137920381322271
Q113__bottom,Q253P__middle,0.5342952928917682
Q113__bottom,Q54P__bottom,0.5094523105648048
Q113__bottom,Q59P__middle,0.5056699928030967
Q113__bottom,Q75P__middle,0.5200878009844353
Q113__bottom,Q76P__top,0.5974040683187605
Q114__bottom,Q115__bottom,0.7421601334445371
Q114__bottom,Q116__middle,0.651417848206839
Q114__bottom,Q117__middle,0.6271267723102586
Q114__bottom,Q227P__bottom,0.5054211843202668
Q114__bottom,Q253P__middle,0.5089866555462885
Q114__bottom,Q75P__middle,0.5234570475396163
Q114__bottom,Q76P__top,0.5494787322768974
Q115__bottom,Q116__middle,0.6970692903495918
Q115__bottom,Q117__middle,0.624283022817668
Q115__bottom,Q123__top,0.5463382502644764
Q115__bottom,Q199P__top,0.5063219593887377
Q115__bottom,Q227P__bottom,0.5252459702742307
Q115__bottom,Q242__bottom,0.5214988486497802
Q115__bottom,Q253P__middle,0.5117647058823529
Q115__bottom,Q75P__middle,0.5230898053171447
Q115__bottom,Q76P__top,0.5586560602888843
Q116__middle,Q117__middle,0.6707655005195705
Q116__middle,Q123__top,0.5328649274436615
Q116__middle,Q131P__middle,0.5246795981988223
Q116__middle,Q235P__bottom,0.5120150675441635
Q116__middle,Q242__bottom,0.5384049186006234
Q116__middle,Q253P__middle,0.5173406650502251
Q116__middle,Q54P__bottom,0.5354364400186712
Q116__middle,Q59P__middle,0.5280970998424461
Q116__middle,Q75P__middle,0.5352874956702459
Q116__middle,Q76P__top,0.5212374437131971
Q117__middle,Q242__bottom,0.5174552034601465
Q117__middle,Q253P__middle,0.5039777247414479
Q117__middle,Q75P__middle,0.5335454786528773
Q117__middle,Q76P__top,0.5069831167683196
Q117__middle,Q93,0.5174803083273661
Q123__top,Q122__top,0.6013493283299067
Q123__top,Q127__top,0.6434150673263379
Q123__top,Q242__bottom,0.5269366654025031
Q123__top,Q246__top,0.5802829253412644
Q123__top,Q76P__top,0.5028044471945547
Q131P__middle,Q253P__middle,0.5155992348789658
Q131P__middle,Q46P__middle,0.5426721487857362
Q131P__middle,Q59P__middle,0.5247709634124993
Q131P__middle,Q75P__middle,0.5240199635028472
Q199P__top,Q206P__top,0.5112125078390243
Q199P__top,Q222P__top,0.5155195681511471
Q199P__top,Q238P__top,0.5151817501530647
Q199P__top,Q76P__top,0.5480362813863694
Q199P__top,Q93,0.5002948485741965
Q227P__bottom,Q134P__bottom,0.5046044959182853
Q227P__bottom,Q137P__bottom,0.5151730173372123
Q227P__bottom,Q226P__bottom,0.5410014427966603
Q227P__bottom,Q230P__bottom,0.6923058728919794
Q227P__bottom,Q235P__bottom,0.5015292583097198
Q227P__bottom,Q76P__top,0.5511206561721766
Q242__bottom,Q127__top,0.518240635024194
Q242__bottom,Q177__bottom,0.5447190066723875
Q242__bottom,Q206P__top,0.5289232964989296
Q242__bottom,Q235P__bottom,0.5626710212728396
Q242__bottom,Q237P__bottom,0.5062450348662724
Q242__bottom,Q238P__top,0.5471136022596875
Q242__bottom,Q239P__bottom,0.5575293494571454
Q242__bottom,Q243__top,0.5515903067020068
Q242__bottom,Q245__bottom,0.5914246623709065
Q242__bottom,Q246__top,0.55309616411195
Q242__bottom,Q249__top,0.5482347824736343
Q242__bottom,Q35P__bottom,0.520566687262777
Q242__bottom,Q51P__bottom,0.5245752840264436
Q242__bottom,Q53P__bottom,0.5300778605280975
