u,v,sim,source
Q2P__middle,Q3P__middle,0.5231740706938655,3_личное_содержание
Q2P__top,Q3P__top,0.5614402295336423,3_личное_содержание
Q5P__top,Q254P__top,0.6638754223593359,3_личное_содержание
Q6P__bottom,Q64P__bottom,0.5869949247118863,3_личное_содержание
Q6P__bottom,Q171P__bottom,0.6038869853395495,3_личное_содержание
Q6P__top,Q171P__top,0.5218097709579149,3_личное_содержание
Q15P,Q64P__top,0.5016256671369854,3_личное_содержание
Q15P,Q164__top,0.5044050130289118,3_личное_содержание
Q15P,Q169P__top,0.5625699105145414,3_личное_содержание
Q15P,Q170P__top,0.524188901415508,3_личное_содержание
Q15P,Q171P__top,0.5345218403479752,3_личное_содержание
Q15P,Q172P__top,0.5510422472411103,3_личное_содержание
Q15P,Q186__bottom,0.50644671046181,3_личное_содержание
Q18P,Q24P,0.7644687770759823,3_личное_содержание
Q19P,Q23P,0.547054277391356,3_личное_содержание
Q19P,Q26P,0.5347122536865457,3_личное_содержание
Q22P,Q24P,0.5089472423976374,3_личное_содержание
Q22P,Q151P,0.5053692634991389,3_личное_содержание
Q22P,Q167P,0.505718588465139,3_личное_содержание
Q23P,Q26P,0.5027046305652975,3_личное_содержание
Q29P__bottom,Q30P__bottom,0.502310642063518,3_личное_содержание
Q29P__bottom,Q31P__bottom,0.6656500727255665,3_личное_содержание
Q29P__middle,Q31P__middle,0.6822188060466308,3_личное_содержание
Q29P__top,Q31P__top,0.6798460746321238,3_личное_содержание
Q30P__bottom,Q31P__bottom,0.591932488351634,3_личное_содержание
Q30P__top,Q31P__top,0.5033253279142804,3_личное_содержание
Q33P__bottom,Q37P__bottom,0.5102494216806761,3_личное_содержание
Q34P__middle,Q39P__middle,0.5892947281280917,3_личное_содержание
Q34P__top,Q38P__top,0.5697632496094219,3_личное_содержание
Q38P__middle,Q40P__middle,0.5195816161762224,3_личное_содержание
Q38P__top,Q39P__top,0.5697723187537448,3_личное_содержание
Q38P__top,Q40P__top,0.5520992537984357,3_личное_содержание
Q39P__middle,Q40P__middle,0.5633496026783914,3_личное_содержание
Q39P__top,Q40P__top,0.6066048667439166,3_личное_содержание
Q40P__top,Q41P__top,0.5516715587237448,3_личное_содержание
Q44P__top,Q45P__top,0.6523398116982829,3_личное_содержание
Q45P__top,Q173P__top,0.6446924983506,3_личное_содержание
Q46P__middle,Q131P__middle,0.545807648456975,3_личное_содержание
Q46P__top,Q49__top,0.5114516672280229,3_личное_содержание
Q48__bottom,Q49__bottom,0.5100677042117295,3_личное_содержание
Q48__middle,Q49__middle,0.6355363881401618,3_личное_содержание
Q48__top,Q49__top,0.5426468070535867,3_личное_содержание
Q49__bottom,Q50__bottom,0.5215754923413567,3_личное_содержание
Q49__top,Q50__top,0.5308372868316451,3_личное_содержание
Q51P__bottom,Q52P__bottom,0.7816384694681948,3_личное_содержание
Q51P__bottom,Q53P__bottom,0.7876847440138387,3_личное_содержание
Q51P__bottom,Q55P__bottom,0.783370983935743,3_личное_содержание
Q52P__bottom,Q53P__bottom,0.7598257425742574,3_личное_содержание
Q52P__bottom,Q54P__bottom,0.6649069406132091,3_личное_содержание
Q52P__bottom,Q55P__bottom,0.7394005572708788,3_личное_содержание
Q52P__bottom,Q134P__bottom,0.6329224298586059,3_личное_содержание
Q52P__bottom,Q135P__bottom,0.6376389265383573,3_личное_содержание
Q52P__bottom,Q136P__bottom,0.623726534622744,3_личное_содержание
Q52P__bottom,Q138P__bottom,0.6572021556760905,3_личное_содержание
Q53P__bottom,Q55P__bottom,0.7062620073079773,3_личное_содержание
Q53P__bottom,Q134P__bottom,0.6340219378427788,3_личное_содержание
Q53P__bottom,Q136P__bottom,0.6044486529642213,3_личное_содержание
Q53P__bottom,Q138P__bottom,0.6437331737959916,3_личное_содержание
Q54P__bottom,Q55P__bottom,0.6260797509039775,3_личное_содержание
Q54P__bottom,Q134P__bottom,0.6139659839211409,3_личное_содержание
Q54P__bottom,Q136P__bottom,0.5966375905548398,3_личное_содержание
Q54P__bottom,Q138P__bottom,0.585834859463333,3_личное_содержание
Q59P__bottom,Q61P__bottom,0.5022328383009659,3_личное_содержание
Q59P__middle,Q60P__middle,0.6449498693090937,3_личное_содержание
Q59P__middle,Q75P__middle,0.5397627372122633,3_личное_содержание
Q60P__middle,Q75P__middle,0.5401578073089701,3_личное_содержание
Q61P__bottom,Q63P__bottom,0.5494241326109576,3_личное_содержание
Q61P__top,Q63P__top,0.5211786867599569,3_личное_содержание
Q62P__bottom,Q63P__bottom,0.652718738930216,3_личное_содержание
Q62P__middle,Q63P__middle,0.7177350359643841,3_личное_содержание
Q62P__top,Q63P__top,0.771718437477408,3_личное_содержание
Q64P__bottom,Q171P__bottom,0.5947390513502169,3_личное_содержание
Q64P__bottom,Q172P__bottom,0.5227732793522267,3_личное_содержание
Q64P__top,Q171P__top,0.5143223023522275,3_личное_содержание
Q65P__bottom,Q69P__bottom,0.5557025596716708,3_личное_содержание
Q66P__bottom,Q67P__bottom,0.637844471717059,3_личное_содержание
Q66P__bottom,Q68P__bottom,0.5097415284988556,3_личное_содержание
Q66P__middle,Q67P__middle,0.714864548972754,3_личное_содержание
Q66P__middle,Q68P__middle,0.5585652544939026,3_личное_содержание
Q66P__top,Q67P__top,0.748507017020006,3_личное_содержание
Q66P__top,Q68P__top,0.6361060681080486,3_личное_содержание
Q66P__top,Q71P__top,0.5901713902719264,3_личное_содержание
Q66P__top,Q73P__top,0.602173256866888,3_личное_содержание
Q67P__middle,Q68P__middle,0.5688523686097171,3_личное_содержание
Q67P__middle,Q77P__middle,0.5308796346634772,3_личное_содержание
Q67P__top,Q68P__top,0.6492673267326733,3_личное_содержание
Q67P__top,Q73P__top,0.5881861454324488,3_личное_содержание
Q67P__top,Q77P__top,0.6052111542121057,3_личное_содержание
Q68P__top,Q73P__top,0.5980587909040488,3_личное_содержание
Q68P__top,Q74P__top,0.6092423328538951,3_личное_содержание
Q69P__bottom,Q70P__bottom,0.7193344131939331,3_личное_содержание
Q69P__bottom,Q116__top,0.5610874549623321,3_личное_содержание
Q69P__middle,Q70P__middle,0.661563988652786,3_личное_содержание
Q69P__top,Q70P__top,0.5986998304126625,3_личное_содержание
